City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Nioro,GM,13.35,-15.75,77.5,81,66,5.57,broken clouds
283,Sterling,US,39.0062,-77.4286,77.7,75,1,3.44,clear sky
284,Port Moresby,PG,-9.4431,147.1797,79.05,86,97,10.13,overcast clouds
285,Oussouye,SN,12.485,-16.5469,78.62,81,100,5.73,overcast clouds
286,Isangel,VU,-19.55,169.2667,73.85,59,2,14.58,clear sky
287,Moyale,KE,3.5167,39.0584,61.84,73,96,11.23,overcast clouds
288,Tilichiki,RU,60.4667,166.1,59.81,57,92,16.96,overcast clouds
289,Bati,ET,11.1833,40.0167,68.52,64,97,4.97,overcast clouds
290,Saskylakh,RU,71.9167,114.0833,68.65,35,14,19.48,few clouds
291,Hami,CN,42.8,93.45,98.37,11,11,9.86,few clouds
292,Sacelu,RO,45.1,23.5333,71.01,56,3,3.76,clear sky
293,Mantua,IT,45.1667,10.7833,69.69,89,5,0.94,clear sky
294,Arman,RU,59.7,150.1667,60.89,61,100,4.74,overcast clouds
295,Benghazi,LY,32.1167,20.0667,78.06,63,0,11.81,clear sky
296,Panama City,PA,8.9936,-79.5197,81.05,88,20,0.0,few clouds
297,Daru,PG,-9.0763,143.2092,77.02,92,99,12.68,overcast clouds
298,Yima,CN,34.7381,111.8839,85.86,55,56,2.82,broken clouds
299,Kavaratti,IN,10.5669,72.642,81.73,78,100,19.35,overcast clouds
300,Mamlyutka,KZ,54.9375,68.5394,64.42,76,96,12.91,overcast clouds
301,Labuhan,ID,-6.8844,112.2051,86.76,54,5,3.18,clear sky
302,San Vicente,AR,-26.6167,-54.1333,33.73,66,0,2.8,clear sky
303,Ust-Tsilma,RU,65.441,52.1498,44.8,89,100,7.83,overcast clouds
304,Jefferson City,US,38.5767,-92.1735,81.45,78,1,3.44,clear sky
305,Saint-Pierre,RE,-21.3393,55.4781,67.68,86,90,20.71,light rain
306,Udachnyy,RU,66.4167,112.4,86.47,38,43,7.9,scattered clouds
307,Paamiut,GL,61.994,-49.6678,44.28,82,77,11.14,broken clouds
308,Svay Rieng,KH,11.0879,105.7993,91.09,53,91,17.34,overcast clouds
309,Vila Velha,BR,-20.3297,-40.2925,71.55,83,0,6.91,clear sky
310,Sitka,US,57.0531,-135.33,60.69,77,75,3.44,broken clouds
311,Hella,NO,67.2,14.4333,67.87,80,0,13.8,clear sky
312,Omsukchan,RU,62.5333,155.8,46.26,71,100,9.42,overcast clouds
313,Bay Roberts,CA,47.5999,-53.2648,66.43,98,99,5.01,overcast clouds
314,Boromo,BF,11.75,-2.9333,75.11,87,100,7.58,overcast clouds
315,Vysokogornyy,RU,50.1167,139.15,90.34,41,19,10.18,few clouds
316,Carnot,CF,4.9409,15.8665,68.76,97,100,0.51,light rain
317,Huangmei,CN,30.1924,116.025,79.32,88,100,11.86,overcast clouds
318,Rock Springs,US,41.5875,-109.2029,74.64,35,1,13.8,clear sky
319,Honiara,SB,-9.4333,159.95,83.57,75,96,8.79,overcast clouds
320,San Jose,US,37.3394,-121.895,78.69,59,20,1.99,smoke
321,Kurilsk,RU,45.2333,147.8833,72.54,74,9,2.17,clear sky
322,Celestun,MX,20.8667,-90.4,80.49,82,41,9.13,scattered clouds
323,San Rafael Del Sur,NI,11.8485,-86.4384,74.37,81,99,8.93,overcast clouds
324,Alofi,NU,-19.0595,-169.9187,75.33,77,97,11.63,light rain
325,Clyde River,CA,70.4692,-68.5914,43.5,76,98,0.4,overcast clouds
326,Grindavik,IS,63.8424,-22.4338,50.56,100,0,11.5,clear sky
327,Lagoa,PT,39.05,-27.9833,69.57,91,79,7.67,broken clouds
328,Dunedin,NZ,-45.8742,170.5036,50.81,57,48,3.47,scattered clouds
329,Sorland,NO,67.667,12.6934,55.83,88,7,10.63,clear sky
330,Privodino,RU,61.0781,46.5044,53.71,66,2,4.92,clear sky
331,Port-Gentil,GA,-0.7193,8.7815,75.31,80,45,9.06,scattered clouds
332,Kavieng,PG,-2.5744,150.7967,84.07,73,14,6.91,light rain
333,Pimentel,PE,-6.8367,-79.9342,64.99,86,88,3.0,overcast clouds
334,Merauke,ID,-8.4667,140.3333,81.95,78,98,12.84,overcast clouds
335,Pointe-Noire,CG,-4.7761,11.8635,72.72,87,46,5.59,scattered clouds
336,Tabas,IR,33.5959,56.9244,88.27,15,0,6.44,clear sky
337,Narrabri,AU,-30.3167,149.7833,68.52,58,6,1.99,clear sky
338,Klyuchi,RU,52.2667,79.1667,65.7,44,88,4.52,overcast clouds
339,Dukat,RU,62.55,155.55,44.2,71,100,9.31,overcast clouds
340,Tiznit,MA,29.5833,-9.5,68.83,68,1,1.45,clear sky
341,Kunigal,IN,13.0222,77.0267,79.92,70,100,16.24,overcast clouds
342,Sinaloa,MX,25.0,-107.5,84.65,93,52,3.15,broken clouds
343,Monte Alegre,BR,-2.0078,-54.0692,75.24,75,0,3.18,clear sky
